FABRICANTE ,ORIGEN,CATEGORIA,ESPECIFICACION,MEDIDA,NOMBRE,ID,STOCK_ACTUAL,STOCK_MINIMO
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,TRADICIONAL,CHICO,BRASERO DE BARRO TRADICIONAL CHICO,BA00001,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,TRADICIONAL,MEDIANO,BRASERO DE BARRO TRADICIONAL MEDIANO,BA00002,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,TRADICIONAL,GRANDE,BRASERO DE BARRO TRADICIONAL GRANDE,BA00003,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,TRADICIONAL,EXTRA GRANDE,BRASERO DE BARRO TRADICIONAL EXTRA GRANDE,BA00004,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,1 LT.,CANTARITO DE PUERCO 1LT,BA00005,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,1.5 LT.,CANTARITO DE PUERCO 1.5LT,BA00006,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,2 LT.,CANTARITO DE PUERCO 2LT,BA00007,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,25 CM.,CAZO OREJÓN 25CM,BA00008,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,30 CM.,CAZO OREJÓN CM30,BA00009,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,35 CM.,CAZO OREJÓN 35CM,BA00010,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,40 CM.,CAZO OREJÓN 40CM,BA00011,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,45 CM.,CAZO OREJÓN 45CM,BA00012,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,MINI,OLLA BIRRIERA MINI,BA00013,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,CHICA,OLLA BIRRIERA CHICA,BA00014,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,MEDIANA,OLLA BIRRIERA MEDIANA,BA00015,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,GRANDE,OLLA BIRRIERA GRANDE,BA00016,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,EXTRA GRANDE,OLLA BIRRIERA EXTRA GRANDE,BA00017,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,GRANDE,HIELERA DE BARRO GRANDE,BA00018,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,MEDIANA,HIELERA DE BARRO MEDIANA,BA00019,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,CHICA,HIELERA DE BARRO CHICA,BA00020,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,MINI,HIELERA DE BARRO MINI,BA00021,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,15 LT.,JARRO 15LT,BA00022,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,20 LT.,JARRO 20LT,BA00023,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,25 LT.,JARRO 25LT,BA00024,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,30 LT.,JARRO 30LT,BA00025,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,35 LT.,JARRO 35LT,BA00026,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,CON CABEZA,CHICO,MOLCAJETE DE BARRO CON CABEZA CHICO,BA00027,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,SIN CABEZA,CHICO,MOLCAJETE DE BARRO SIN CABEZA CHICO,BA00028,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,CON CABEZA,GRANDE,MOLCAJETE DE BARRO CON CABEZA GRANDE,BA00029,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,SIN CABEZA,GRANDE,MOLCAJETE DE BARRO SIN CABEZA GRANDE,BA00030,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,GRANDE,PAVERA DE BARRO GRANDE,BA00031,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,CHICA,PAVERA DE BARRO CHICA,BA00032,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,44 CM.,PLATON 44CM,BA00033,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,250 ML,JARRO RAYA  250ML,BA00034,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,500 ML,JARRO RAYA 500ML,BA00035,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,1 LT.,JARRO RAYA 1LT,BA00036,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,3 LT.,JARRO 3LT,BA00037,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,5 LT.,JARRO 5LT,BA00038,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,8 LT.,JARRO 8LT,BA00039,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,10 LT.,JARRO 10LT,BA00040,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,8 KG.,CAZUELA TLAQUEPAQUE 8KG,BA00041,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,,12 KG.,CAZUELA TLAQUEPAQUE12KG,BA00042,0,0
JIOVANI JAMID ,CIUDAD GUZMAN,BARRO,19X9 CM,1.250 ML.,CAZUELA TEQUILERA 19X9CM 1.250ML,BA00043,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,ESTANDAR,, BOTANERO ESTANDAR,BA00044,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,PINTADO A MANO,,BOTANERO PINTADO A MANO,BA00045,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,CUADRADO,,BOTANERO CUADRADO,BA00046,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,,PLATO BOTANERO,BA00047,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,1 KG.,CAZUELA 1KG,BA00048,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,1.5 KG.,CAZUELA 1.5KG,BA00049,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,12 CM.,CAZUELA 12CM,BA00050,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,14 CM.,CAZUELA 14CM,BA00051,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,15-16 CM.,CAZUELA 15-16CM,BA00052,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,18 CM.,CAZUELA 18CM,BA00053,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,DISEÑO GIRASOL (HORNEADO),18 CM.,CAZUELA DISEÑO GIRASOL (HORNEADO) 18CM,BA00054,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,2 KG.,CAZUELA 2KG,BA00055,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,4 KG.,CAZUELA 4KG,BA00056,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,5 KG.,CAZUELA 5KG,BA00057,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,1/2 KG.,CAZUELA .5KG,BA00058,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,,CENTRO DE BOTANERO,BA00059,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,COMAL CON UNA OREJA DOS O SIN,44 CM.,COMAL CON UNA OREJA DOS O SIN 44CM,BA00060,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,24 CM.,CAZUELA CORRIENTE 24CM,BA00061,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,29 CM.,CAZUELA CORRIENTE 29CM,BA00062,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,,CUCHARA DE BARRO,BA00063,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,12 CM.,FRIJOLERA COCO 12CM,BA00064,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,,FRIJOLITO CHICO,BA00065,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,21 CM.,PLATO OVALADO HONDO 21CM,BA00066,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,24 CM.,PLATO OVALADO HONDO 24CM,BA00067,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,28 CM.,PLATO OVALADO HONDO 28CM,BA00068,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,FLOR ROSA/ DISEÑO ESPECIAL ,28 CM.,PLATO OVALADO HONDO FLOR ROSA-DISEÑO ESPECIAL 28CM,BA00069,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,,30 CM.,PLATO OVALADO HONDO 30CM,BA00070,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,FLOR,1.5 LT.,JARRA DE BARRO FLOR 1.5LT,BA00071,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,FLOR,3 LT.,JARRA DE BARRO FLOR 3LT,BA00072,0,0
VICTOR/ CARLOS/ GRISELA,CAPULA,BARRO,LISA,3 LT.,JARRA DE BARRO LISA 3LT,BA00073,0,0
